Date,ICSA
1987-10-08,301000.0
1987-10-09,301000.0
1987-10-12,301000.0
1987-10-13,301000.0
1987-10-14,301000.0
1987-10-15,308000.0
1987-10-16,308000.0
1987-10-19,308000.0
1987-10-20,308000.0
1987-10-21,308000.0
1987-10-22,301000.0
1987-10-23,301000.0
1987-10-26,301000.0
1987-10-27,301000.0
1987-10-28,301000.0
1987-10-29,301000.0
1987-10-30,301000.0
1987-11-02,301000.0
1987-11-03,301000.0
1987-11-04,301000.0
1987-11-05,289000.0
1987-11-06,289000.0
1987-11-09,289000.0
1987-11-10,289000.0
1987-11-11,289000.0
1987-11-12,297000.0
1987-11-13,297000.0
1987-11-16,297000.0
1987-11-17,297000.0
1987-11-18,297000.0
1987-11-19,307000.0
1987-11-20,307000.0
1987-11-23,307000.0
1987-11-24,307000.0
1987-11-25,307000.0
1987-11-27,307000.0
1987-11-30,307000.0
1987-12-01,307000.0
1987-12-02,307000.0
1987-12-03,306000.0
1987-12-04,306000.0
1987-12-07,306000.0
1987-12-08,306000.0
1987-12-09,306000.0
1987-12-10,319000.0
1987-12-11,319000.0
1987-12-14,319000.0
1987-12-15,319000.0
1987-12-16,319000.0
1987-12-17,317000.0
1987-12-18,317000.0
1987-12-21,317000.0
1987-12-22,317000.0
1987-12-23,317000.0
1987-12-24,323000.0
1987-12-28,323000.0
1987-12-29,323000.0
1987-12-30,323000.0
1987-12-31,316000.0
1988-01-04,316000.0
1988-01-05,316000.0
1988-01-06,316000.0
1988-01-07,315000.0
1988-01-08,315000.0
1988-01-11,315000.0
1988-01-12,315000.0
1988-01-13,315000.0
1988-01-14,325000.0
1988-01-15,325000.0
1988-01-18,325000.0
1988-01-19,325000.0
1988-01-20,325000.0
1988-01-21,361000.0
1988-01-22,361000.0
1988-01-25,361000.0
1988-01-26,361000.0
1988-01-27,361000.0
1988-01-28,335000.0
1988-01-29,335000.0
1988-02-01,335000.0
1988-02-02,335000.0
1988-02-03,335000.0
1988-02-04,342000.0
1988-02-05,342000.0
1988-02-08,342000.0
1988-02-09,342000.0
1988-02-10,342000.0
1988-02-11,318000.0
1988-02-12,318000.0
1988-02-16,318000.0
1988-02-17,318000.0
1988-02-18,311000.0
1988-02-19,311000.0
1988-02-22,311000.0
1988-02-23,311000.0
1988-02-24,311000.0
1988-02-25,327000.0
1988-02-26,327000.0
1988-02-29,327000.0
1988-03-01,327000.0
1988-03-02,327000.0
1988-03-03,319000.0
1988-03-04,319000.0
1988-03-07,319000.0
1988-03-08,319000.0
1988-03-09,319000.0
1988-03-10,307000.0
1988-03-11,307000.0
1988-03-14,307000.0
1988-03-15,307000.0
1988-03-16,307000.0
1988-03-17,304000.0
1988-03-18,304000.0
1988-03-21,304000.0
1988-03-22,304000.0
1988-03-23,304000.0
1988-03-24,307000.0
1988-03-25,307000.0
1988-03-28,307000.0
1988-03-29,307000.0
1988-03-30,307000.0
1988-03-31,304000.0
1988-04-04,304000.0
1988-04-05,304000.0
1988-04-06,304000.0
1988-04-07,309000.0
1988-04-08,309000.0
1988-04-11,309000.0
1988-04-12,309000.0
1988-04-13,309000.0
1988-04-14,313000.0
1988-04-15,313000.0
1988-04-18,313000.0
1988-04-19,313000.0
