Date,ICSA,SMA5,SMA10,SMA50,EMA20,stoch5,ADOSC,MACDhist,WILLR,RSI,MOM,ROC,OBV,CCI
2006-02-14,289000.0,1659.2159668000063,1666.8779907999997,1692.480595740002,1678.4635063065352,44.59608263322542,88986693.19921875,-4.478164656780654,-71.18019339408755,44.1887304206446,-48.80004899999994,-2.8525529153879847,278810830000.0,-61.62405841709549
2006-02-15,289000.0,1659.751977400006,1662.8909911999997,1691.761596700002,1677.9574603725796,51.61206773823753,651296008.5822449,-2.6902550286392213,-58.10669363027282,47.60016679084352,-39.8699959999999,-2.327468186857496,280593880000.0,-25.65678184412788
2006-02-16,298000.0,1666.657983200006,1663.1749876999995,1691.638396000002,1678.971986527572,78.54896915961422,1439545182.2769165,-0.3705067205653396,-38.59127233863136,51.96479491457709,2.83996500000012,0.1684669300264341,282534350000.0,29.739056680212617
2006-02-17,298000.0,1668.9499754000062,1664.242980899999,1691.115595700002,1678.6136983820888,84.53515031476086,1053690858.6951294,0.3200503684001932,-52.968176045636206,48.21601037958443,10.679932000000008,0.6416184637063171,280585710000.0,25.15844897783625
2006-02-21,298000.0,1670.9199950000063,1664.0569823999997,1690.2883960000022,1676.4295417742708,66.924535894067,446909634.5626831,-0.4386624518521751,-76.0840827629503,43.311823480477926,-1.8599850000000515,-0.1122135789324407,278838530000.0,-38.83248986806382
2006-02-22,298000.0,1674.0340088000062,1666.6249877999994,1690.126997080002,1676.533396843388,57.11128746781073,485871914.33599854,0.5751518533261724,-45.51359808918168,49.497980664736914,25.680053999999927,1.55463328945753,280662640000.0,41.08483022824507
2006-02-23,283000.0,1673.862011800006,1666.8069945999996,1689.720397960002,1676.12926752497,51.58923886867594,55191523.01889038,0.9179543354185028,-31.781799309542112,48.14311727551122,1.820067999999992,0.1089554455690366,278908440000.0,97.1915002059434
2006-02-24,283000.0,1671.440014800006,1669.0489989999994,1689.283398440002,1676.1645753797347,65.65925122403608,229215082.1909485,1.4225521752951202,-23.58323446116582,49.34508352837805,22.42004399999996,1.3554389507395737,280492420000.0,66.2139899294415
2006-02-27,283000.0,1675.5300294000058,1672.2400023999994,1689.0811987200022,1678.021285724522,71.85744236414813,537936446.5081482,2.9529448069624973,-8.521216944257104,54.51257861118258,31.910034,1.9179584673178152,282206840000.0,163.9092010173166
2006-02-28,283000.0,1678.5080078000058,1674.7140013999997,1688.5129980400022,1677.3116343221866,64.83781546831581,164904614.3595581,2.2153902623498807,-47.82275416625362,47.65656326320174,24.739990000000034,1.5031923504496003,280086280000.0,53.8185912380498
2006-03-01,283000.0,1681.9199950000057,1677.9770018999996,1688.370598140002,1678.9562363867403,68.79691309045019,543276165.846344,3.2233984181056563,-10.213069349065648,53.66252131038194,32.63000499999998,1.9633566570621763,282276700000.0,108.99880188034662
2006-03-02,293000.0,1686.2179930000057,1680.0400023999996,1688.4725976400025,1680.3680261594318,65.5329618391098,830112963.7772522,3.681991008279644,-11.466088500109722,53.44250768018232,20.630004999999983,1.233003897085072,280187600000.0,116.24946609087756
2006-03-03,293000.0,1687.7819822000056,1679.6109984999996,1688.8717968600022,1680.744399477581,68.93742816997303,215117744.28240967,3.211117458015285,-32.54284969484007,50.79041005641295,-4.290038999999979,-0.2540574222649749,277798560000.0,97.46434242001556
2006-03-06,293000.0,1682.6379636000056,1679.0839964999996,1688.9691967600022,1679.7154034320972,45.44314079560255,-489467504.0130005,1.861059792827704,-57.6693528888918,46.97437413492567,-5.270019999999931,-0.3145886260641606,275686280000.0,-17.01208353075003
2006-03-07,293000.0,1680.7279784000057,1679.6179930999997,1688.777397460002,1677.9348907242784,24.209950242839483,-709635780.2687988,0.3749268841132682,-81.82790319100445,44.729404330106895,5.339966000000004,0.3225240279424168,273777970000.0,-137.19999083830078
2006-03-08,293000.0,1674.183984200006,1678.0519895999994,1688.3475976400025,1676.403947321966,17.67198453401366,-445332945.2479248,-0.4965912187971382,-73.78278454928905,44.995985063451705,-15.66003499999988,-0.9335229871056838,275862010000.0,-139.30447350554374
2006-03-09,302000.0,1664.445971600006,1675.3319822999997,1687.5909960800022,1673.4216633865408,14.08475564943493,-908965559.5531616,-2.059890456335713,-99.626351231662,40.76819737217499,-27.20007299999997,-1.6265164753516803,273904450000.0,-140.3407064066023
2006-03-10,302000.0,1657.227978400006,1672.5049802999995,1687.1881957800024,1671.0224554449655,17.059179905587996,-897502537.3923645,-2.6995272781548394,-80.62642265384733,41.86954853606116,-28.27001999999993,-1.6862523113629568,275657150000.0,-145.55390433045886
2006-03-13,302000.0,1653.9979980000055,1668.3179807999993,1686.9219970400022,1669.3812729263973,25.647461705693008,-1102163425.2641602,-2.5661051860073654,-72.92124474331598,43.8601070316521,-41.86999500000002,-2.4692446693592385,277306700000.0,-87.60630992923628
2006-03-14,302000.0,1658.023998800006,1669.3759885999991,1687.4377978200023,1670.5021063619786,57.63738210704316,-545080313.6521912,-0.558069928259024,-35.00554060160222,52.482805143652925,10.580077999999958,0.633321461656422,279218450000.0,-4.40007988935169
2006-03-15,302000.0,1664.5439940000058,1669.3639890999991,1688.4229980200023,1672.783806803695,82.5332977348386,358086018.9909668,1.624302732430322,-16.560514647207587,56.02160352167468,-0.1199950000000171,-0.0070811058265563,281308970000.0,82.30179495576769
